School,Programme,ProgrammeTitle,Year,AkariStatus,Students,ExpectedStudents,CrosswalkedProgramme,StudentsCrosswalked
Conservatoire,TU388,M.Mus (Performance/Conducting),1,AkariOK,16,1,TU388,16
Graduate Business School,TU353A,MBA,1,AkariCheckRequired,0,10,TU353,14
Graduate Business School,TU353A,MBA,2,AkariCheckRequired,0,10,TU353,9
Graduate Business School,TU423A,MBA Life Sciences Leadership Jan entry,1,AkariCheckRequired,0,10,TU423,4
Graduate Business School,TU423A,MBA Life Sciences Leadership Jan entry,2,AkariCheckRequired,0,10,TU423,1
Language Studies,TU965,Intl Business and Languages,1,AkariOK,65,1,TU965,65
Language Studies,TU965,Intl Business and Languages,2,AkariOK,69,1,TU965,69
Language Studies,TU965,Intl Business and Languages,3,AkariOK,65,1,TU965,65
Language Studies,TU965,Intl Business and Languages,4,AkariOK,60,1,TU965,60
"School of Accounting, Economics & Finance",TU243,Post Graduate Diploma in Professional Accountancy,1,AkariOK,0,110,TU243,0
"School of Accounting, Economics & Finance",TU304,PG Dip Accounting,1,AkariOK,33,3,TU304,33
"School of Accounting, Economics & Finance",TU318,MSc in Finance,1,AkariOK,40,3,TU318,40
"School of Accounting, Economics & Finance",TU324,MBS International Accounting,1,AkariOK,24,3,TU324,24
"School of Accounting, Economics & Finance",TU324,MBS International Accounting,2,AkariOK,0,3,TU324,0
"School of Accounting, Economics & Finance",TU442,Masters in International Strategic Accountancy (add-on) (Masters Research (Postgraduate)),2,AkariOK,0,2,TU442,0
"School of Accounting, Economics & Finance",TU5541,Diploma Fintech Risk & Complia,1,AkariOK,37,60,TU5541,37
"School of Accounting, Economics & Finance",TU5547,Higher Diploma in Business in Regulatory Risk & Compliance,1,AkariOK,0,64,TU5547,0
"School of Accounting, Economics & Finance",TU905,Economics and Finance,1,AkariOK,63,1,TU905,63
"School of Accounting, Economics & Finance",TU905,Economics and Finance,2,AkariOK,52,1,TU905,52
"School of Accounting, Economics & Finance",TU905,Economics and Finance,3,AkariOK,56,1,TU905,56
"School of Architecture, Building and Environment",TU205,Sustainable Development,1,AkariOK,39,8,TU205,39
"School of Architecture, Building and Environment",TU207,MSc in Sustainable Development,1,AkariOK,31,TBC,TU207,31
